'Stempel_innen_mitte', 'Stempel_aussen', 'Matrize_zarge_oben', 'Matrize_zarge_mitte','Matrize_zarge_unten', 'Werkstueck_boden', 'Werkstueck_zarge_unten' , 'Werkstueck_zarge_mitte', 'Werkstueck_zarge_oben'
1.519772644042968750e+02,1.106620941162109375e+02,1.104631805419921875e+02,1.214125747680664062e+02,1.220400085449218750e+02,3.818314819335937500e+02,3.818323669433593750e+02,3.842049560546875000e+02,3.824439392089843750e+02,3.822348632812500000e+02
1.524328308105468750e+02,1.106979370117187500e+02,1.104902725219726562e+02,1.215424880981445312e+02,1.222879257202148438e+02,3.775225219726562500e+02,3.775233459472656250e+02,3.799808959960937500e+02,3.781691589355468750e+02,3.779589233398437500e+02
1.528826904296875000e+02,1.107346038818359375e+02,1.105180892944335938e+02,1.216685028076171875e+02,1.225305557250976562e+02,3.751386718750000000e+02,3.751390991210937500e+02,3.758721923828125000e+02,3.747428283691406250e+02,3.753815612792968750e+02
1.533264007568359375e+02,1.107720794677734375e+02,1.105466308593750000e+02,1.217907180786132812e+02,1.227679214477539062e+02,3.744429321289062500e+02,3.744431152343750000e+02,3.741581420898437500e+02,3.736395568847656250e+02,3.745127258300781250e+02
1.537633972167968750e+02,1.108103332519531250e+02,1.105758590698242188e+02,1.219091949462890625e+02,1.230000762939453125e+02,3.737642211914062500e+02,3.737645568847656250e+02,3.732268371582031250e+02,3.726787719726562500e+02,3.738510131835937500e+02
1.541930847167968750e+02,1.108493499755859375e+02,1.106057815551757812e+02,1.220240173339843750e+02,1.232271041870117188e+02,3.730317077636718750e+02,3.730321960449218750e+02,3.723803405761718750e+02,3.718010864257812500e+02,3.731319274902343750e+02
1.546149444580078125e+02,1.108891143798828125e+02,1.106363754272460938e+02,1.221352615356445312e+02,1.234490661621093750e+02,3.722694091796875000e+02,3.722700195312500000e+02,3.715823364257812500e+02,3.709723510742187500e+02,3.723809509277343750e+02
1.550285339355468750e+02,1.109295959472656250e+02,1.106676101684570312e+02,1.222430267333984375e+02,1.236660690307617188e+02,3.714913024902343750e+02,3.714920043945312500e+02,3.708122253417968750e+02,3.701729736328125000e+02,3.716128234863281250e+02
1.554334106445312500e+02,1.109707794189453125e+02,1.106994934082031250e+02,1.223473892211914062e+02,1.238782577514648438e+02,3.707054443359375000e+02,3.707062377929687500e+02,3.700584716796875000e+02,3.693916625976562500e+02,3.708361511230468750e+02
1.558292541503906250e+02,1.110126419067382812e+02,1.107319869995117188e+02,1.224484329223632812e+02,1.240857467651367188e+02,3.699165344238281250e+02,3.699173889160156250e+02,3.693145446777343750e+02,3.686219482421875000e+02,3.700559387207031250e+02
1.562157287597656250e+02,1.110551605224609375e+02,1.107650909423828125e+02,1.225462493896484375e+02,1.242886810302734375e+02,3.691273193359375000e+02,3.691282348632812500e+02,3.685769653320312500e+02,3.678600769042968750e+02,3.692750549316406250e+02
1.565925292968750000e+02,1.110983276367187500e+02,1.107987747192382812e+02,1.226409149169921875e+02,1.244871826171875000e+02,3.683393859863281250e+02,3.683403320312500000e+02,3.678438720703125000e+02,3.671039733886718750e+02,3.684952087402343750e+02
1.569593963623046875e+02,1.111421051025390625e+02,1.108330307006835938e+02,1.227325286865234375e+02,1.246813888549804688e+02,3.675536193847656250e+02,3.675545959472656250e+02,3.671142272949218750e+02,3.663523864746093750e+02,3.677173461914062500e+02
1.573161315917968750e+02,1.111864776611328125e+02,1.108678359985351562e+02,1.228211517333984375e+02,1.248714370727539062e+02,3.667705688476562500e+02,3.667715148925781250e+02,3.663876037597656250e+02,3.656045837402343750e+02,3.669420471191406250e+02
1.576625518798828125e+02,1.112314376831054688e+02,1.109031829833984375e+02,1.229068832397460938e+02,1.250574645996093750e+02,3.659904785156250000e+02,3.659914550781250000e+02,3.656636657714843750e+02,3.648601379394531250e+02,3.661696166992187500e+02
1.579983978271484375e+02,1.112769546508789062e+02,1.109390411376953125e+02,1.229897918701171875e+02,1.252396087646484375e+02,3.652135620117187500e+02,3.652145080566406250e+02,3.649422607421875000e+02,3.641186523437500000e+02,3.654002380371093750e+02
1.583229980468750000e+02,1.113230133056640625e+02,1.109754028320312500e+02,1.230699462890625000e+02,1.254179916381835938e+02,3.644399108886718750e+02,3.644408569335937500e+02,3.642233886718750000e+02,3.633800354003906250e+02,3.646339721679687500e+02
1.586354675292968750e+02,1.113695907592773438e+02,1.110122528076171875e+02,1.231474304199218750e+02,1.255927505493164062e+02,3.636695251464843750e+02,3.636704711914062500e+02,3.635072631835937500e+02,3.626443176269531250e+02,3.638708801269531250e+02
1.589356536865234375e+02,1.114166793823242188e+02,1.110495681762695312e+02,1.232223129272460938e+02,1.257639770507812500e+02,3.629024658203125000e+02,3.629033813476562500e+02,3.627938842773437500e+02,3.619114074707031250e+02,3.631109924316406250e+02
1.592241516113281250e+02,1.114642486572265625e+02,1.110873336791992188e+02,1.232946472167968750e+02,1.259318008422851562e+02,3.621387329101562500e+02,3.621396484375000000e+02,3.620832824707031250e+02,3.611813049316406250e+02,3.623542785644531250e+02
1.595016479492187500e+02,1.115122909545898438e+02,1.111255416870117188e+02,1.233645019531250000e+02,1.260962982177734375e+02,3.613783264160156250e+02,3.613792114257812500e+02,3.613754272460937500e+02,3.604539184570312500e+02,3.616007385253906250e+02
1.597688140869140625e+02,1.115607833862304688e+02,1.111641693115234375e+02,1.234319458007812500e+02,1.262575759887695312e+02,3.606212158203125000e+02,3.606221008300781250e+02,3.606703491210937500e+02,3.597292175292968750e+02,3.608503723144531250e+02
1.600262756347656250e+02,1.116097183227539062e+02,1.112032012939453125e+02,1.234970321655273438e+02,1.264157180786132812e+02,3.598674316406250000e+02,3.598683166503906250e+02,3.599679870605468750e+02,3.590071716308593750e+02,3.601031494140625000e+02
1.602745666503906250e+02,1.116590728759765625e+02,1.112426300048828125e+02,1.235598297119140625e+02,1.265708007812500000e+02,3.591169433593750000e+02,3.591177978515625000e+02,3.592683715820312500e+02,3.582877197265625000e+02,3.593590087890625000e+02
1.605142059326171875e+02,1.117088317871093750e+02,1.112824249267578125e+02,1.236203765869140625e+02,1.267229080200195312e+02,3.583697204589843750e+02,3.583705444335937500e+02,3.585714416503906250e+02,3.575708618164062500e+02,3.586179809570312500e+02
1.607455902099609375e+02,1.117589797973632812e+02,1.113225936889648438e+02,1.236787490844726562e+02,1.268721008300781250e+02,3.576257629394531250e+02,3.576265869140625000e+02,3.578771972656250000e+02,3.568565979003906250e+02,3.578800048828125000e+02
1.609691467285156250e+02,1.118095016479492188e+02,1.113630981445312500e+02,1.237349777221679688e+02,1.270184555053710938e+02,3.568850402832031250e+02,3.568858642578125000e+02,3.571856384277343750e+02,3.561448669433593750e+02,3.571450500488281250e+02
1.611853332519531250e+02,1.118603897094726562e+02,1.114039459228515625e+02,1.237891311645507812e+02,1.271620330810546875e+02,3.561475830078125000e+02,3.561484069824218750e+02,3.564967041015625000e+02,3.554356079101562500e+02,3.564130859375000000e+02
1.613946228027343750e+02,1.119116210937500000e+02,1.114451065063476562e+02,1.238412399291992188e+02,1.273028869628906250e+02,3.554133300781250000e+02,3.554141235351562500e+02,3.558103942871093750e+02,3.547287597656250000e+02,3.556841125488281250e+02
1.615973205566406250e+02,1.119631881713867188e+02,1.114865798950195312e+02,1.238913726806640625e+02,1.274410552978515625e+02,3.546822814941406250e+02,3.546830749511718750e+02,3.551266479492187500e+02,3.540242309570312500e+02,3.549580688476562500e+02
1.617937164306640625e+02,1.120150833129882812e+02,1.115283432006835938e+02,1.239395675659179688e+02,1.275765991210937500e+02,3.539544372558593750e+02,3.539552307128906250e+02,3.544454345703125000e+02,3.533216552734375000e+02,3.542349853515625000e+02
1.619840545654296875e+02,1.120672760009765625e+02,1.115703811645507812e+02,1.239858627319335938e+02,1.277095489501953125e+02,3.532297668457031250e+02,3.532305603027343750e+02,3.537667846679687500e+02,3.526202697753906250e+02,3.535147705078125000e+02
1.621685180664062500e+02,1.121197738647460938e+02,1.116126937866210938e+02,1.240303192138671875e+02,1.278399429321289062e+02,3.525082702636718750e+02,3.525090332031250000e+02,3.530906372070312500e+02,3.519166564941406250e+02,3.527973937988281250e+02
1.623472137451171875e+02,1.121725540161132812e+02,1.116552658081054688e+02,1.240729751586914062e+02,1.279678192138671875e+02,3.517434387207031250e+02,3.517444763183593750e+02,3.524168701171875000e+02,3.511945190429687500e+02,3.520827331542968750e+02
1.625199737548828125e+02,1.122256011962890625e+02,1.116980743408203125e+02,1.241138687133789062e+02,1.280932006835937500e+02,3.506833496093750000e+02,3.506843261718750000e+02,3.517454528808593750e+02,3.503840637207031250e+02,3.511354064941406250e+02
1.626864776611328125e+02,1.122789154052734375e+02,1.117411193847656250e+02,1.241530380249023438e+02,1.282161560058593750e+02,3.483797302246093750e+02,3.483810729980468750e+02,3.510752868652343750e+02,3.484840087890625000e+02,3.499607238769531250e+02
1.628466033935546875e+02,1.123324737548828125e+02,1.117843856811523438e+02,1.241905364990234375e+02,1.283367156982421875e+02,3.444538269042968750e+02,3.444541015625000000e+02,3.503688354492187500e+02,3.454838562011718750e+02,3.457564086914062500e+02
1.630005645751953125e+02,1.123862762451171875e+02,1.118278656005859375e+02,1.242264022827148438e+02,1.284548950195312500e+02,3.408319091796875000e+02,3.408318481445312500e+02,3.489530944824218750e+02,3.419581604003906250e+02,3.419696655273437500e+02
1.631487121582031250e+02,1.124403076171875000e+02,1.118715362548828125e+02,1.242606658935546875e+02,1.285707397460937500e+02,3.373203125000000000e+02,3.373201599121093750e+02,3.459306945800781250e+02,3.383059387207031250e+02,3.383298339843750000e+02
1.632913970947265625e+02,1.124945526123046875e+02,1.119154052734375000e+02,1.242933578491210938e+02,1.286842803955078125e+02,3.338800659179687500e+02,3.338799133300781250e+02,3.421874084472656250e+02,3.347133789062500000e+02,3.347824096679687500e+02
1.634289550781250000e+02,1.125490036010742188e+02,1.119594421386718750e+02,1.243245010375976562e+02,1.287955627441406250e+02,3.305028381347656250e+02,3.305027160644531250e+02,3.384105224609375000e+02,3.312034301757812500e+02,3.313149719238281250e+02
1.635616455078125000e+02,1.126036453247070312e+02,1.120036544799804688e+02,1.243541183471679688e+02,1.289046173095703125e+02,3.271863708496093750e+02,3.271862182617187500e+02,3.347194213867187500e+02,3.277746582031250000e+02,3.279227905273437500e+02
1.636897277832031250e+02,1.126584854125976562e+02,1.120480270385742188e+02,1.243822326660156250e+02,1.290114746093750000e+02,3.239296264648437500e+02,3.239295349121093750e+02,3.311271972656250000e+02,3.244237365722656250e+02,3.246029663085937500e+02
1.638134155273437500e+02,1.127134933471679688e+02,1.120925445556640625e+02,1.244089050292968750e+02,1.291161956787109375e+02,3.207317810058593750e+02,3.207316589355468750e+02,3.276289978027343750e+02,3.211476745605468750e+02,3.213527526855468750e+02
1.639328918457031250e+02,1.127686614990234375e+02,1.121372070312500000e+02,1.244341964721679688e+02,1.292187957763671875e+02,3.175919799804687500e+02,3.175918884277343750e+02,3.242184448242187500e+02,3.179439392089843750e+02,3.181696472167968750e+02
1.640483551025390625e+02,1.128239974975585938e+02,1.121819915771484375e+02,1.244581604003906250e+02,1.293193359375000000e+02,3.145093994140625000e+02,3.145093078613281250e+02,3.208900146484375000e+02,3.148102722167968750e+02,3.150514221191406250e+02
1.641600341796875000e+02,1.128794708251953125e+02,1.122269058227539062e+02,1.244808273315429688e+02,1.294178619384765625e+02,3.114832458496093750e+02,3.114831542968750000e+02,3.176392822265625000e+02,3.117444763183593750e+02,3.119960327148437500e+02
1.642680511474609375e+02,1.129350814819335938e+02,1.122719268798828125e+02,1.245022430419921875e+02,1.295144195556640625e+02,3.085126037597656250e+02,3.085125122070312500e+02,3.144625244140625000e+02,3.087445068359375000e+02,3.090016479492187500e+02
1.643725585937500000e+02,1.129908142089843750e+02,1.123170623779296875e+02,1.245224304199218750e+02,1.296090393066406250e+02,3.055966491699218750e+02,3.055965576171875000e+02,3.113567504882812500e+02,3.058084716796875000e+02,3.060665588378906250e+02
1.644737243652343750e+02,1.130466690063476562e+02,1.123622894287109375e+02,1.245414276123046875e+02,1.297017822265625000e+02,3.027344970703125000e+02,3.027344055175781250e+02,3.083193359375000000e+02,3.029347534179687500e+02,3.031891479492187500e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
